,Areaname,Land Area (sq. mi)
15003,"Honolulu, HI",600.74
15007,"Kauai, HI",619.96
15009,"Maui, HI",1161.52
16001,"Ada, ID",1052.58
16003,"Adams, ID",1363.06
16005,"Bannock, ID",1111.99
16007,"Bear Lake, ID",974.79
16009,"Benewah, ID",776.62
16011,"Bingham, ID",2093.98
16013,"Blaine, ID",2643.59
16015,"Boise, ID",1899.24
16017,"Bonner, ID",1734.57
16019,"Bonneville, ID",1866.08
16021,"Boundary, ID",1268.56
16023,"Butte, ID",2231.67
16025,"Camas, ID",1074.49
16027,"Canyon, ID",587.37
16029,"Caribou, ID",1764.15
16031,"Cassia, ID",2565.08
16033,"Clark, ID",1764.19
16035,"Clearwater, ID",2457.27
16037,"Custer, ID",4920.94
16039,"Elmore, ID",3074.74
16041,"Franklin, ID",663.65
16043,"Fremont, ID",1863.53
16045,"Gem, ID",560.9
16047,"Gooding, ID",728.97
16049,"Idaho, ID",8477.35
16051,"Jefferson, ID",1093.5
16053,"Jerome, ID",597.19
16055,"Kootenai, ID",1244.13
16057,"Latah, ID",1076.0
16059,"Lemhi, ID",4563.39
16061,"Lewis, ID",478.8
16063,"Lincoln, ID",1201.41
16065,"Madison, ID",469.21
16067,"Minidoka, ID",757.59
16069,"Nez Perce, ID",848.09
16071,"Oneida, ID",1200.06
16073,"Owyhee, ID",7665.51
16075,"Payette, ID",406.87
16077,"Power, ID",1404.24
16079,"Shoshone, ID",2629.67
16081,"Teton, ID",449.46
16083,"Twin Falls, ID",1921.21
16085,"Valley, ID",3664.52
16087,"Washington, ID",1452.98
17001,"Adams, IL",855.2
17003,"Alexander, IL",235.51
17005,"Bond, IL",380.28
17007,"Boone, IL",280.72
17009,"Brown, IL",305.61
17011,"Bureau, IL",869.03
17013,"Calhoun, IL",253.83
17015,"Carroll, IL",444.81
17017,"Cass, IL",375.82
17019,"Champaign, IL",996.27
17021,"Christian, IL",709.38
17023,"Clark, IL",501.42
17025,"Clay, IL",468.32
17027,"Clinton, IL",474.09
17029,"Coles, IL",508.29
17031,"Cook, IL",945.33
17033,"Crawford, IL",443.63
17035,"Cumberland, IL",346.02
17037,"DeKalb, IL",631.31
17039,"De Witt, IL",397.51
17041,"Douglas, IL",416.67
17043,"DuPage, IL",327.5
17045,"Edgar, IL",623.37
17047,"Edwards, IL",222.42
17049,"Effingham, IL",478.78
17051,"Fayette, IL",716.48
17053,"Ford, IL",485.62
17055,"Franklin, IL",408.89
17057,"Fulton, IL",865.6
17059,"Gallatin, IL",323.07
17061,"Greene, IL",543.02
17063,"Grundy, IL",418.04
17065,"Hamilton, IL",434.67
17067,"Hancock, IL",793.73
17069,"Hardin, IL",177.53
17071,"Henderson, IL",378.87
17073,"Henry, IL",822.99
17075,"Iroquois, IL",1117.32
17077,"Jackson, IL",584.08
17079,"Jasper, IL",494.51
17081,"Jefferson, IL",571.17
17083,"Jersey, IL",369.27
17085,"Jo Daviess, IL",601.09
17087,"Johnson, IL",343.92
17089,"Kane, IL",520.06
17091,"Kankakee, IL",676.56
17093,"Kendall, IL",320.34
17095,"Knox, IL",716.4
17097,"Lake, IL",443.67
17099,"LaSalle, IL",1135.12
17101,"Lawrence, IL",372.18
17103,"Lee, IL",724.9
17105,"Livingston, IL",1044.29
17107,"Logan, IL",618.06
17109,"McDonough, IL",589.41
17111,"McHenry, IL",603.17
17113,"McLean, IL",1183.38
17115,"Macon, IL",580.69
17117,"Macoupin, IL",862.91
17119,"Madison, IL",715.58
17121,"Marion, IL",572.36
17123,"Marshall, IL",386.79
17125,"Mason, IL",539.24
17127,"Massac, IL",237.22
17129,"Menard, IL",314.44
17131,"Mercer, IL",561.2
17133,"Monroe, IL",385.01
17135,"Montgomery, IL",703.69
17137,"Morgan, IL",568.79
17139,"Moultrie, IL",335.94
17141,"Ogle, IL",758.57
17143,"Peoria, IL",619.21
17145,"Perry, IL",441.76
17147,"Piatt, IL",439.2
17149,"Pike, IL",831.38
17151,"Pope, IL",368.77
17153,"Pulaski, IL",199.19
17155,"Putnam, IL",160.16
17157,"Randolph, IL",575.5
17159,"Richland, IL",359.99
17161,"Rock Island, IL",427.64
17163,"St. Clair, IL",657.76
17165,"Saline, IL",379.82
17167,"Sangamon, IL",868.3
17169,"Schuyler, IL",437.27
17171,"Scott, IL",250.91
17173,"Shelby, IL",758.52
17175,"Stark, IL",288.08
17177,"Stephenson, IL",564.52
17179,"Tazewell, IL",648.97
17181,"Union, IL",413.46
17183,"Vermilion, IL",898.37
17185,"Wabash, IL",223.25
17187,"Warren, IL",542.41
17189,"Washington, IL",562.57
17191,"Wayne, IL",713.81
17193,"White, IL",494.77
17195,"Whiteside, IL",684.25
17197,"Will, IL",836.91
17199,"Williamson, IL",420.15
17201,"Winnebago, IL",513.36
17203,"Woodford, IL",527.8
18001,"Adams, IN",339.03
18003,"Allen, IN",657.31
