countyFIPS,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,Biden_or_Trump
01073,Alabama,Jefferson County,138443,180936,324675,-42493,0.4264048664048664,0.5572834372834373,-0.1308785708785709,1
01075,Alabama,Lamar County,6168,978,7187,5190,0.8582162237373034,0.1360790315848059,0.7221371921524975,0
01077,Alabama,Lauderdale County,31578,11872,44149,19706,0.7152596887811729,0.2689075630252101,0.4463521257559628,0
01079,Alabama,Lawrence County,12266,3544,15957,8722,0.7686908566773203,0.2220968853794573,0.546593971297863,0
01081,Alabama,Lee County,42019,27600,70980,14419,0.5919836573682727,0.3888419273034658,0.20314173006480696,0
01083,Alabama,Limestone County,34337,13510,48754,20827,0.7042909299749764,0.27710546826927024,0.4271854617057062,0
01085,Alabama,Lowndes County,1835,4968,6830,-3133,0.2686676427525622,0.7273792093704246,-0.4587115666178623,1
01087,Alabama,Macon County,1539,7084,8697,-5545,0.17695757157640565,0.8145337472691733,-0.6375761756927676,1
01089,Alabama,Madison County,102395,86885,193955,15510,0.5279317367430589,0.4479647340878039,0.07996700265525508,0
01091,Alabama,Marengo County,5337,5476,10882,-139,0.4904429332843228,0.5032163205293144,-0.012773387244991665,1
01093,Alabama,Marion County,12190,1457,13786,10733,0.8842303786450022,0.10568692876831567,0.7785434498766866,0
01095,Alabama,Marshall County,33094,5880,39492,27214,0.837992504811101,0.14889091461561835,0.6891015901954827,0
01097,Alabama,Mobile County,100605,78754,181783,21851,0.5534345895930862,0.43323083016563707,0.12020375942744915,0
01099,Alabama,Monroe County,6129,4425,10620,1704,0.5771186440677966,0.4166666666666667,0.16045197740112987,0
01101,Alabama,Montgomery County,33122,64065,98476,-30943,0.3363459116942199,0.6505646045737032,-0.3142186928794833,1
01103,Alabama,Morgan County,39504,13159,53482,26345,0.7386410381062788,0.2460453984518156,0.4925956396544632,0
01105,Alabama,Perry County,1336,3849,5215,-2513,0.25618408437200385,0.7380632790028763,-0.4818791946308724,1
01107,Alabama,Pickens County,5590,4017,9659,1573,0.5787348586810229,0.4158815612382234,0.16285329744279953,0
01109,Alabama,Pike County,8020,5613,13796,2407,0.5813279211365613,0.4068570600173964,0.17447086111916493,0
